paper_id,sample_id,condition,scale,r
Allen_2021,1,control,7,0.6257997372398776
Altay_2023,2,control,4,0.0788044168287227
Altay_2023,3,control,4,-0.054885469879533036
Altay_2023,4,control,4,-0.10801246689067631
Altay_2023,5,control,4,0.15276466900092342
Altay_2023,6,control,4,0.0694981336626861
Altay_2023,7,control,4,0.12165587273958982
Altay_2023,8,control,4,0.09037309575404051
Altay_2023,9,control,4,-0.010029881616451916
Aslett_2024,1,control,7,0.03320194482681855
Aslett_2024,1,treatment,7,0.08166331822681601
Aslett_2024,5,control,7,-0.00429621489922351
Aslett_2024,5,treatment,7,0.07179850639565967
Bago_2020,1,control,binary,-0.1017901763050291
Bago_2020,3,control,binary,0.35176904801238323
Bago_2022,1,control,binary,0.44971068129983527
Bago_2022,2,control,binary,0.41525641951147046
Bago_2022,3,treatment,binary,0.38400766114724294
Bago_2022,4,treatment,binary,0.3148769040837559
Bago_2022,5,control,binary,0.24573193196475174
Bago_2022,6,treatment,binary,0.31318857591331856
Bago_2022,7,control,binary,0.04430205611069725
Bago_2022,7,treatment,binary,0.005358139930153408
Chen_2021,2,control,6,0.394562668160262
Epstein_2023,1,control,binary,0.44099281864572704
Epstein_2023,2,control,binary,0.20869581554054342
Epstein_2023,3,control,binary,0.6601499359769795
Epstein_2023,4,control,binary,0.7595721428228489
Epstein_2023,5,control,binary,0.5435423672761867
Epstein_2023,6,control,binary,0.31910008074130725
Epstein_2023,NA,treatment,binary,0.6040475382727261
Erlich_2023,1,control,6,-0.22372721713006913
Garrett_2021,2,control,4,0.18637621880374872
Gawronski_2023,1,control,binary,0.5139151002286245
Gawronski_2023,2,control,binary,0.6029259888676292
Guess_2024,1,control,6,0.448144732160768
Guess_2024,2,control,6,0.37054217558928326
Guess_2024,3,control,6,0.24116201471557405
Guess_2024,4,control,6,0.22696396765374582
Guess_2024,5,control,6,0.5652554338484593
Guess_2024,6,control,6,0.6302529348062679
Guess_2024,NA,treatment,6,0.2671537314449384
Hoes-Altay-Angelis_2023,1,control,6,0.3973217729112549
Hoes-Altay-Angelis_2023,1,treatment,6,0.2785446259051188
Kreps_2023,1,control,binary,0.4007677400195109
Luo_2022,1,control,7,-0.14727209690951273
Luo_2022,1,treatment,7,-0.07141041328121876
Luo_2022,2,control,7,0.23244527302666954
Luo_2022,3,control,7,0.13440131884472428
Lyons_2024,1,control,4,0.7485003092603917
Lyons_2024,2,control,4,0.5493515951260823
Lyons_2024,3,control,4,0.6859372933704564
Lyons_2024,4,control,4,0.5210781910941689
Lyons_2024_b,1,control,4,0.21914298834755833
Lyons_2024_b,1,treatment,4,0.26636087308037143
Mairal_2023,1,control,binary,0.044288500916070665
Mairal_2023,2,control,binary,0.20955779026802868
Modirrousta-Galian_2023_b,1,control,7,-0.028667112283446327
Pereira_2023,1,control,binary,0.05217039191559091
Pereira_2023,2,control,binary,0.09950529186945152
Pereira_2023,2,treatment,binary,0.011474105605650856
Rathje_2023,1,treatment,6,0.13679111318805187
Rathje_2023,2,control,6,0.12057950297820016
Rathje_2023,3,treatment,6,0.18456243690476307
Rathje_2023,4,control,6,0.40551056163287685
Rathje_2023,5,treatment,6,0.42793847814223335
Rathje_2023,6,treatment,6,0.31786672067533456
Rathje_2023,7,treatment,6,0.02003895470433826
Rathje_2023,8,control,6,0.20446384365576256
Rathje_2023,9,treatment,6,0.21581064676631784
Rathje_2023,10,control,6,0.4356005781020179
Rathje_2023,11,control,6,0.20993862199265587
Rathje_2023,12,treatment,6,0.11934637453105315
Rathje_2023,NA,treatment,6,0.10360440557250382
Stagnaro_2023,1,control,4,0.6072018788748996
Sultan_2022,1,control,binary,0.08508753340750158
Sultan_2022,2,treatment,binary,0.20921706399322135
